field,field_type,diff_count,missing_count,total_files,diff_rate,missing_rate
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,number,40,18,789,0.0507,0.0228
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,number,38,18,789,0.0482,0.0228
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,number,30,18,789,0.0380,0.0228
AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,number,37,18,789,0.0469,0.0228
AMERICAN ECONOMIC REVIEW,number,192,18,789,0.2433,0.0228
ECONOMETRICA,number,64,18,789,0.0811,0.0228
ECONOMIC JOURNAL,number,64,18,789,0.0811,0.0228
INTERNATIONAL ECONOMIC REVIEW,number,95,18,789,0.1204,0.0228
JOURNAL OF DEVELOPMENT ECONOMICS,number,69,18,789,0.0875,0.0228
JOURNAL OF ECONOMETRICS,number,117,18,789,0.1483,0.0228
JOURNAL OF ECONOMIC THEORY,number,133,18,789,0.1686,0.0228
JOURNAL OF INTERNATIONAL ECONOMICS,number,92,18,789,0.1166,0.0228
JOURNAL OF LABOR ECONOMICS,number,49,18,789,0.0621,0.0228
JOURNAL OF MONETARY ECONOMICS,number,79,18,789,0.1001,0.0228
JOURNAL OF POLITICAL ECONOMY,number,51,18,789,0.0646,0.0228
JOURNAL OF PUBLIC ECONOMICS,number,92,18,789,0.1166,0.0228
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,number,29,18,789,0.0368,0.0228
QUANTITATIVE ECONOMICS,number,32,18,789,0.0406,0.0228
QUARTERLY JOURNAL OF ECONOMICS,number,32,18,789,0.0406,0.0228
RAND JOURNAL OF ECONOMICS,number,40,18,789,0.0507,0.0228
REVIEW OF ECONOMIC STUDIES,number,62,18,789,0.0786,0.0228
REVIEW OF ECONOMICS AND STATISTICS,number,97,18,789,0.1229,0.0228
THEORETICAL ECONOMICS,number,29,18,789,0.0368,0.0228
name,text,76,47,789,0.0963,0.0596
promotion_university,text,221,166,789,0.2801,0.2104
promotion_year,number,167,166,789,0.2117,0.2104
years_post_phd,number,186,222,789,0.2357,0.2814
